id,first_5_seconds,last_5_seconds,word_count,words_per_second,sentence_count,question_count,numbers,names,countries,brands
yzg8T9hLFo8,До 2001 года в Афганистане находились два древнейших азиатских памятника каменные статуи Будды. Им было минимум,"До 2001 года в Афганистане находились два древнейших азиатских памятника каменные статуи Будды. Им было минимум по 1. Статуи высекли там буддийские мастера, когда через дорогу проходил Шёлковый путь. Но затем к власти в Афганистане пришёл Талибан. Их лидер объявил статую идолами, которые порочат ислам, и приказал их уничтожить. Мир был в ярости. Не трогать статуи просили США и Китай. И что интересно, другие мусульманские страны. Они понимали, что статуи не имеют отношения к исламу, но являются важнейшим памятником. Пакистан и Эмираты даже отправляли туда делегации с требованием не трогать памятники, но Талибан отказался и принялся за уничтожение. Это оказалось крайне сложно. По буддам стреляли из пушек, танков и гранатомётов и в скалу даже закладывали взрывчатку. Но буддам будто бы было похуй. И уничтожить их смогли только на двадцать пятый день долбёжки, заложив под них суммарно 15 тн взрывчатки. Сегодня от буду вообще ничего не осталось, только пустые ниши в скале.",151,,15,0,2001; 1; 15,Афганистане; Будды; Шёлковый; Талибан; Китай; Эмираты,китай; сша,
NtpoRalPv7M,До 2015 в Марокко существовал обязательный знак приветствия монарха и других членов королевской семьи. Поцелуй,"До 2015 в Марокко существовал обязательный знак приветствия монарха и других членов королевской семьи. Поцелуй руки. Старым правителям это очень нравилось. О, да, куча незнакомцев и чиновников. Зацелуйте мне всю руку. Мм. Но потом наследный принц Мулай начал участвовать в официальных мероприятиях. Он молодой. И такие поцелуи считает каким-то лютым кринджом. Принц пытался по-хорошему всем объяснить: ""Хватит мне руку целовать?"" Но его никто не слушался. А по итогу он выбрал вот такую тактику, просто одёргивать руку, когда ему её целуют. Но при этом против рукопожатия он ничего не имеет. И среди королевской семьи это стало трендом. Все начали отказываться от поцелуев. Даже сам король последовал примеру принца и тоже теперь выступает за рукопожатие.",113,,16,1,2015,Марокко; Мулай; Хватит; Но,,
Z7yQqgZBgOk,Одним из самых страшных кошмаров мотоциклистов является проволока.,"Одним из самых страшных кошмаров мотоциклистов является проволока. Злоумышленник может натянуть её через дорогу на уровне шеи. Водитель в неё врежется и останется без головы. Такие случаи, показаны в кино и среди байкеров, считаются городской легендой. Но насколько часто это происходит? За всё время от таких ловушек погибло четыре водителя, три в США и один в России. Также известно о восьми похожих случаях, не приведших к смерти. Люди просто получали серьёзные травмы шеи, и некоторые навсегда лишались возможности говорить, а также около 10ти случаев, когда проволока была натянута, но её вовремя заметили. То есть в целом ловушки с проволокой оставляют крайне редко. 22 зафиксированных за всё время случая. Что же их все объединяет? Местные жители. В основном именно они оставляют ловушки. Их сильно раздражает шум мотоциклов. Кстати, установка проволоки на уровне шеи - это уголовное преступление, покушение на убийство. Примечательно, что перед установкой ловушки местные часто пытались договориться, просили прекратить езду, но получали отказ.",154,,16,2,22,России,сша,
jBP-JvApE0U,"После того, как видео с изменый Яна Топлеса попало в интернет, Ян решил замять ситуацию. Он выпустил видео, там","После того, как видео с изменый Яна Топлеса попало в интернет, Ян решил замять ситуацию. Он выпустил видео, там он сказал: ""Я поговорил с женой, всё нормально. Жена не обижается"". И люди в комментариях взорвались. При этом начали всплывать другие подробности личной жизни умного человека в очках. И там просто настоящие файлы Ийнштейна, поцелуи с другими девушками, использование запрещённых веществ и много другого. Но, скорее всего, 90% из этого фейк. Кстати, мемный человек в очках скачать обои тоже пострадал. Он превратился в >> и самый умный человек в очках. Удалить обоих. >> А в комменты под последним видео Яна лучше вообще не заходить. В целом реакция интернета была крайне негативной. Все отмечали: ""Это не соответствует образу Яна"". В роликах он спокойный и уравновешенный. Его контент даже показывали в школах. А в жизни также в интернете идёт спор. Так ли важна личная жизнь Яна? Ролики-то у него хорошие. И стоит ли его вообще за это отменять?",153,,19,2,90,Яна Топлеса; Ян; Ийнштейна; Яна; Это,,
9fSbJXEezn8,"В футболе есть очень строгое правило. Если игрок получил красную карточку, он пропускает следующую игру. За 94 года","В футболе есть очень строгое правило. Если игрок получил красную карточку, он пропускает следующую игру. За 94 года чемпионатов мира не было ни одного исключения, вообще никогда. Но на текущем чемпионате произошло невероятное. Нападающий сборной США получил красную карточку. Он наступил на голеностоп соперника. И по всем правилам к следующему матчу против Бельгии его допускать нельзя. Но FIFА без объяснений впервые за 94 года нарушила свои же правила. Его допустили. Фанаты и журналисты были в шоке и завалили организацию вопросами, но там отказывались от каких-либо объяснений. Но в итоге выяснилось невероятное. На решение повлиял Дональд Трамп. Дон смотрел матч и болел за Америку и сильно расстроился из-за удаления ключевого нападающего. Понимая, что без него против Бельгии шансов нет, Трамп взял телефон и лично позвонил главе FIFA. Бан отменили прямо по звонку, но сборной США это всё равно не помогло. Игрок на поле вышел, но американцы разгромно проиграли Бельгией 1:4. Сейчас происходит большой скандал. Главу FФА отменяют. Но на Трампа, кстати, сильно не злятся.",164,,19,0,94; 94; 1:4,Бельгии; Дональд Трамп; Америку; Трамп; Бельгией; Трампа,сша,
hjbpo-OHgSs,,,0,,0,0,,,,
UG7CiNyqc0M,,,0,,0,0,,,,
drgGnzmYSL0,,,0,,0,0,,,,
ZbnAijqN9pM,,,0,,0,0,,,,
NDGYVhTPjbE,,,0,,0,0,,,,
